Elevator,Maids Room,Built in Kitchen Appliances,Pets Allowed,Natural Gas,Pool,Private Garden,Covered Parking,Electricity Meter,Balcony,Central A/C & heating,Water Meter,Landline,Security,Amenities_ID
0,0,0,0,0,0,1,0,0,1,0,0,0,1,104
0,0,0,0,1,0,0,0,1,1,0,1,0,0,105
0,0,0,1,0,0,0,0,0,1,0,0,0,1,106
1,0,0,0,0,0,0,0,0,1,0,0,0,1,107
0,0,0,0,0,0,0,0,1,1,0,1,0,0,108
0,1,0,1,0,0,0,0,0,1,0,0,0,1,109
0,0,0,0,0,1,1,0,0,0,0,0,0,1,110
1,0,0,0,0,0,0,0,1,1,0,1,0,0,111
0,0,0,0,1,0,1,0,1,1,0,1,1,0,112
1,0,0,0,0,0,0,1,1,1,1,1,1,1,113
1,0,0,0,0,0,0,1,1,1,0,0,0,0,114
1,0,0,1,1,0,1,0,1,1,1,1,1,1,115
1,0,1,0,1,1,1,1,1,1,0,1,1,1,116
1,1,1,1,1,1,0,1,1,1,1,1,1,1,117
1,0,0,0,1,0,0,1,1,0,0,1,1,0,118
0,1,0,0,0,0,1,0,0,1,0,0,0,1,119
1,0,0,1,0,1,1,0,0,1,0,0,1,1,120
1,0,0,0,1,0,0,0,1,1,0,1,0,1,121
1,0,0,1,1,1,0,0,1,1,0,1,1,1,122
1,0,0,1,1,1,1,1,1,1,1,1,1,1,123
0,0,1,1,0,0,1,1,0,1,1,0,0,1,124
1,0,0,0,1,0,0,1,0,1,0,0,1,1,125
0,0,1,0,1,0,0,0,1,0,0,1,1,0,126
1,0,0,0,0,0,0,1,1,0,0,1,0,0,127
1,0,1,0,1,0,0,1,1,1,1,1,0,1,128
0,1,0,1,0,1,1,1,0,1,1,0,0,1,129
1,1,1,1,1,1,1,1,1,1,1,1,1,1,130
1,0,1,1,1,0,0,0,1,1,0,1,0,1,131
0,1,1,1,1,1,1,1,1,0,0,1,1,0,132
1,0,0,1,1,0,0,1,1,0,0,0,1,1,133
1,0,0,1,0,0,1,1,1,0,1,1,1,1,134
0,0,0,0,1,0,1,1,1,0,0,1,0,0,135
1,0,0,0,1,0,0,0,0,0,0,0,0,0,136
0,0,0,1,1,0,0,0,1,1,0,0,1,1,137
0,0,0,1,0,0,0,1,0,1,0,0,0,1,138
0,0,0,0,1,0,1,1,0,0,0,0,1,1,139
1,0,0,0,0,0,0,0,0,1,0,0,0,0,140
0,0,1,1,1,1,1,1,1,0,0,0,1,1,141
0,0,1,1,1,0,0,0,1,1,1,1,1,0,142
1,0,0,1,1,1,1,1,1,1,0,1,1,1,143
0,0,1,1,0,1,1,1,0,1,0,0,0,0,144
0,0,1,0,1,0,0,0,1,0,0,1,0,0,145
1,0,0,1,1,0,0,1,1,1,0,1,0,0,146
1,0,0,0,0,0,0,0,1,0,0,1,0,0,147
1,1,0,1,0,1,1,1,1,1,0,1,0,1,148
0,0,0,0,0,0,1,1,1,0,0,1,0,0,149
0,0,1,0,1,1,1,1,1,1,1,1,1,1,150
0,1,0,1,1,1,0,1,1,1,0,1,1,1,151
0,0,0,1,1,1,1,1,1,0,0,1,1,1,152
1,0,0,0,1,0,0,0,0,0,0,1,1,1,153
0,0,1,0,1,1,1,1,1,1,1,1,0,1,154
0,0,0,0,0,0,0,0,1,1,0,0,0,0,155
1,0,0,1,1,1,0,1,1,1,0,1,0,1,156
0,0,1,0,1,1,1,1,1,0,0,1,1,0,157
1,0,0,1,0,1,0,0,0,1,0,0,0,1,158
0,0,1,1,1,1,0,1,1,1,1,1,1,1,159
0,0,1,1,0,0,1,1,0,1,0,0,0,0,160
0,0,1,1,0,1,1,1,0,1,0,0,0,1,161
0,0,0,1,1,1,1,1,0,0,0,1,1,1,162
0,0,0,0,0,0,1,1,0,0,0,0,0,0,163
0,0,1,1,0,0,1,1,0,1,1,1,0,1,164
0,0,1,0,1,1,1,1,1,1,1,0,1,1,165
0,0,1,1,1,0,1,1,1,1,1,0,1,1,166
0,0,0,1,1,1,0,1,1,1,0,1,1,1,167
0,0,1,1,1,0,0,1,1,0,0,1,1,0,168
0,1,1,0,0,0,1,1,0,1,1,0,0,1,169
0,0,0,1,1,0,0,0,1,0,0,1,1,0,170
0,0,1,1,0,1,1,1,1,0,0,0,1,0,171
1,0,0,1,0,0,0,0,0,0,0,0,1,1,172
1,1,0,1,1,0,0,0,1,1,0,1,1,1,173
0,0,1,0,0,1,1,1,0,0,0,0,0,0,174
0,0,0,1,0,0,0,1,1,1,0,1,0,1,175
0,0,0,1,1,0,1,1,1,0,0,1,0,1,176
0,0,0,0,1,0,0,0,0,0,0,0,0,1,177
0,0,0,0,0,0,0,0,0,0,0,0,0,1,178
0,1,0,1,0,1,0,1,0,1,0,0,0,1,179
0,0,0,1,0,1,1,1,0,1,0,0,0,0,180
0,0,0,0,1,0,0,1,1,0,0,0,0,1,181
0,0,0,0,1,0,1,1,1,1,0,1,1,1,182
0,0,0,1,1,0,0,1,1,1,0,0,1,1,183
0,0,1,1,0,0,1,1,0,0,0,0,0,0,184
0,0,0,1,0,0,1,1,0,0,0,0,0,1,185
0,0,1,1,1,0,1,1,1,1,1,1,1,1,186
1,1,1,1,1,0,1,1,1,1,1,1,1,0,187
1,0,0,1,0,1,1,1,0,1,0,0,0,1,188
0,0,0,1,0,0,1,1,1,0,0,0,0,1,189
0,0,0,0,1,0,0,0,0,0,0,1,1,0,190
1,0,0,0,1,0,0,0,1,1,0,1,0,0,191
0,0,0,0,0,1,0,0,0,0,0,0,0,0,192
0,0,0,1,0,0,0,1,1,0,0,1,0,0,193
0,1,0,1,0,1,1,1,0,1,0,0,0,1,194
0,0,0,1,0,0,0,1,1,1,0,0,0,1,195
0,0,1,0,1,0,0,0,1,1,0,1,1,0,196
0,0,0,1,0,0,1,1,0,1,0,0,0,1,197
0,0,0,1,0,0,1,1,1,0,0,1,0,0,198
0,0,0,1,0,1,0,1,1,0,0,1,0,1,199
0,0,0,1,0,1,0,1,1,0,0,0,0,0,200
0,0,0,0,1,0,0,1,0,1,0,0,0,0,201
0,1,1,1,1,0,1,1,1,1,1,1,1,1,202
0,0,0,1,1,1,0,1,1,1,0,1,0,1,203
0,1,0,1,1,0,1,1,1,1,0,1,1,1,204
1,0,0,0,0,1,0,1,1,1,0,1,1,1,205
1,0,1,1,1,0,1,0,1,1,1,1,1,1,206
1,0,0,0,0,0,0,1,1,1,0,1,1,1,207
0,0,1,0,0,0,0,0,0,0,0,0,0,0,208
0,0,0,1,1,0,0,1,1,1,0,1,1,1,209
1,1,1,1,1,0,0,1,1,1,0,1,1,1,210
0,0,0,1,0,0,1,1,1,1,0,1,1,1,211
0,0,0,0,0,0,1,1,1,1,0,0,0,0,212
0,0,0,0,0,1,1,0,1,0,0,1,0,1,213
1,0,0,1,1,1,1,1,1,1,0,1,0,1,214
1,0,0,0,1,0,0,0,1,1,0,1,1,0,215
0,0,0,1,1,1,0,0,1,0,0,1,0,1,216
0,0,0,0,0,0,1,0,1,1,0,1,0,1,217
0,1,0,1,1,0,1,0,1,0,0,1,0,0,218
1,0,0,1,1,0,1,0,1,1,0,1,0,1,219
0,0,0,0,1,0,0,0,1,0,0,1,1,0,220
1,0,0,0,0,0,0,1,0,0,1,0,0,1,221
0,0,0,1,1,0,1,1,1,1,1,1,1,1,222
0,0,0,0,0,0,0,1,1,0,0,1,0,1,223
0,0,0,1,1,1,1,0,1,1,0,1,1,1,224
1,0,0,0,0,0,0,0,1,1,0,1,1,1,225
0,0,0,0,0,0,1,1,1,0,0,0,0,0,226
1,0,0,0,1,0,0,1,1,1,0,1,1,1,227
1,0,0,1,0,0,0,0,0,1,0,0,0,1,228
1,0,0,1,1,0,0,0,1,1,0,1,1,1,229
0,0,0,1,1,0,1,1,1,0,0,1,1,0,230
0,0,1,0,1,0,0,1,1,1,1,1,0,1,231
0,0,0,1,0,0,1,0,0,0,0,0,0,1,232
1,1,0,1,1,1,1,1,1,1,1,1,1,1,233
0,1,0,1,1,1,1,1,1,1,0,1,1,1,234
0,0,1,1,1,0,1,1,1,1,0,1,1,1,235
0,1,1,1,1,1,1,1,1,1,0,1,1,1,236
1,0,1,0,1,0,0,0,1,1,0,1,1,0,237
1,0,0,1,0,1,0,0,0,1,0,0,1,1,238
0,0,0,1,1,0,0,1,0,0,0,1,1,0,239
0,0,0,1,1,0,0,1,1,1,0,1,0,0,240
0,0,0,0,0,0,1,1,0,1,0,0,0,1,241
0,1,1,1,1,1,1,1,1,0,1,1,1,1,242
1,1,0,1,1,0,0,1,1,1,1,1,1,1,243
0,0,0,1,1,1,0,1,0,0,0,1,0,0,244
1,0,1,1,1,0,1,1,1,1,0,1,1,1,245
1,0,0,1,1,0,1,1,1,1,0,1,1,1,246
1,1,0,0,0,0,1,0,1,1,0,1,0,1,247
0,0,1,1,1,1,1,1,1,0,0,1,0,1,248
1,0,0,0,0,0,0,1,0,1,0,0,0,1,249
0,0,0,0,1,0,1,0,1,0,0,0,1,0,250
0,0,0,0,1,0,1,0,1,1,0,1,0,1,251
1,0,1,1,1,1,1,1,1,1,1,1,1,1,252
0,0,0,0,1,0,0,1,0,0,0,1,0,0,253
1,0,0,1,1,0,0,0,1,1,0,1,0,1,254
0,0,0,0,1,1,1,1,1,0,0,1,0,1,255
1,0,0,0,0,0,0,0,1,1,0,0,0,0,256
0,0,0,1,0,0,0,1,1,1,0,0,0,0,257
0,0,0,1,1,0,1,1,0,1,0,1,0,0,258
0,1,1,1,1,1,1,1,1,1,0,1,0,1,259
1,0,0,0,1,0,0,1,1,0,0,1,1,1,260
0,0,0,1,0,1,1,0,1,0,0,0,0,0,261
0,1,1,1,1,0,1,1,1,1,0,1,0,1,262
1,0,0,0,1,0,0,1,0,1,0,1,0,1,263
0,0,0,1,0,0,1,0,0,1,0,0,0,1,264
0,0,0,0,0,1,0,0,1,1,0,1,0,1,265
1,1,1,1,1,0,0,0,1,1,1,1,1,1,266
1,0,0,1,1,0,0,0,1,0,0,0,0,1,267
0,0,0,1,0,0,0,0,0,0,0,0,0,0,268
0,0,0,1,1,0,1,1,1,1,0,1,0,1,269
1,0,1,1,1,1,1,1,1,1,0,1,1,1,270
1,0,0,0,1,0,0,0,1,0,0,0,1,0,271
0,0,0,1,1,0,0,1,1,0,0,0,1,0,272
